"지역별","상품군별","판매유형별","항목","단위","2014.1/4","2014.2/4","2014.3/4","2014.4/4","2015.1/4","2015.2/4","2015.3/4","2015.4/4","2016.1/4","2016.2/4","2016.3/4","2016.4/4","2017.1/4","2017.2/4","2017.3/4","2017.4/4","2018.1/4","2018.2/4","2018.3/4","2018.4/4","2019.1/4","2019.2/4","2019.3/4","2019.4/4",
"합계","합계","계","해외직접판매액[백만원]","백만원","148272","153641","163999","213216","269101","271784","268421","450568","511395","494391","560853","726741","839944","581349","755101","858240","833672","897205","921586","974060","1251122","1345723","1526135","1881628",
"합계","합계","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","673803","441213","610630","677884","665613","725319","761836","770656","1070693","1157158","1336372","1655635",
"합계","합계","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","166141","140136","144471","180356","168059","171886","159750","203404","180429","188565","189763","225993",
"합계","컴퓨터 및 주변기기","계","해외직접판매액[백만원]","백만원","4915","4052","3912","3529","2903","2697","3804","4048","4211","3693","3160","3270","2645","2072","2032","2158","5236","3854","4320","4511","3702","4038","3670","3827",
"합계","컴퓨터 및 주변기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","5","3","5","1","2","6","1","215","2","0","1","70",
"합계","컴퓨터 및 주변기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","2640","2069","2027","2157","5234","3848","4319","4296","3700","4038","3669","3757",
"합계","가전·전자·통신기기","계","해외직접판매액[백만원]","백만원","13259","13824","13560","14200","13399","13587","12857","17621","16916","16176","15681","17845","18951","16020","19322","21696","25635","28160","27358","18073","21429","22798","25419","24180",
"합계","가전·전자·통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","8948","6282","9006","12680","18038","21188","20481","11104","14072","15843","17370","15478",
"합계","가전·전자·통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","10003","9738","10316","9016","7597","6972","6877","6969","7357","6955","8049","8702",
"합계","가전·전자","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","가전·전자","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","가전·전자","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","통신기기","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","소프트웨어","계","해외직접판매액[백만원]","백만원","361","330","372","595","807","484","591","434","418","303","150","145","123","210","295","316","244","379","313","408","150","228","144","387",
"합계","소프트웨어","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
